price,cost,sales,profit,inventory,delivery_days,category,material,color,location,season,store_type,revenue,
459,196,2,263,3,30,Bed,Wood,Blue,Urban,Fall,Online,526,
607,293,4,314,2,58,Bed,Wood,Black,Rural,Fall,Online,1256,
575,442,4,133,2,58,Bed,Wood,Red,Rural,Spring,Retail,532,
769,231,6,538,2,82,Bed,Wood,Green,Suburban,Summer,Retail,3228,
505,267,7,238,2,75,Bed,Leather,Green,Suburban,Summer,Online,1666,
432,186,7,246,2,77,Bed,Fabric,Blue,Suburban,Winter,Online,1722,
580,267,7,313,2,40,Bed,Wood,Black,Urban,Spring,Online,2191,
598,236,8,362,1,57,Bed,Wood,Red,Rural,Summer,Retail,2896,
1437,227,8,1210,1,37,Bed,Fabric,Blue,Urban,Winter,Retail,9680,
612,490,9,122,1,76,Bed,Fabric,Red,Rural,Fall,Online,1098,
672,310,9,362,1,36,Bed,Wood,Red,Urban,Summer,Retail,3258,
807,318,10,489,1,42,Bed,Wood,Blue,Rural,Fall,Online,4890,
796,359,12,437,1,22,Bed,Wood,Red,Urban,Fall,Online,5244,
554,490,13,64,1,84,Bed,Leather,Black,Suburban,Fall,Retail,832,
456,272,13,184,1,52,Bed,Fabric,Black,Urban,Summer,Retail,2392,
1178,1021,15,157,1,85,Bed,Leather,Green,Suburban,Summer,Retail,2355,
1401,179,17,1222,2,55,Bed,Wood,White,Suburban,Summer,Retail,20774,
712,211,18,501,2,17,Bed,Wood,White,Rural,Spring,Online,9018,
940,163,18,777,2,34,Bed,Wood,Blue,Rural,Winter,Online,13986,
535,441,19,94,2,81,Bed,Fabric,White,Rural,Fall,Retail,1786,
888,371,20,517,4,32,Bed,Wood,Brown,Suburban,Winter,Online,10340,
953,469,23,484,4,7,Bed,Wood,Brown,Suburban,Spring,Online,11132,
578,209,23,369,4,62,Bed,Wood,Black,Urban,Winter,Retail,8487,
344,152,25,192,3,21,Bed,Leather,Green,Urban,Winter,Online,4800,
787,387,25,400,4,82,Bed,Wood,Brown,Suburban,Spring,Online,10000,
661,314,26,347,2,75,Bed,Wood,Black,Urban,Fall,Retail,9022,
785,343,27,442,2,36,Bed,Wood,Blue,Suburban,Summer,Online,11934,
638,423,28,215,2,61,Bed,Leather,Red,Suburban,Winter,Online,6020,
705,346,29,359,1,67,Bed,Wood,Black,Rural,Fall,Online,10411,
661,280,30,381,3,30,Bed,Fabric,Red,Urban,Winter,Online,11430,
1501,429,30,1072,1,58,Bed,Wood,Brown,Suburban,Spring,Retail,32160,
336,201,33,135,2,49,Bed,Leather,White,Rural,Summer,Online,4455,
927,362,33,565,3,42,Bed,Fabric,White,Suburban,Spring,Online,18645,
874,175,46,699,1,14,Bed,Wood,Red,Urban,Summer,Online,32154,
698,377,0,321,2,90,Bed,Wood,Green,Rural,Fall,Retail,0,
1364,1102,2,262,3,68,Bed,Wood,Red,Urban,Winter,Retail,524,
569,417,2,152,1,56,Bed,Fabric,Red,Suburban,Winter,Retail,304,
595,252,2,343,2,47,Bed,Fabric,Black,Suburban,Fall,Retail,686,
648,243,4,405,3,68,Bed,Leather,Red,Rural,Summer,Online,1620,
1351,1114,4,237,1,75,Bed,Leather,White,Rural,Spring,Retail,948,
510,268,5,242,2,56,Bed,Leather,Black,Suburban,Summer,Retail,1210,
1134,290,7,844,3,57,Bed,Wood,Green,Urban,Spring,Online,5908,
293,249,7,44,1,43,Bed,Wood,Black,Suburban,Winter,Retail,308,
650,283,7,367,2,79,Bed,Wood,Red,Urban,Winter,Retail,2569,
501,354,8,147,3,32,Bed,Leather,White,Rural,Summer,Retail,1176,
1316,1031,10,285,2,43,Bed,Wood,Blue,Urban,Winter,Online,2850,
502,470,12,32,1,43,Bed,Fabric,Blue,Suburban,Spring,Online,384,
595,183,12,412,3,47,Bed,Wood,Green,Suburban,Spring,Online,4944,
815,486,13,329,2,21,Bed,Leather,Red,Rural,Fall,Online,4277,
480,210,13,270,1,55,Bed,Wood,Red,Urban,Summer,Retail,3510,
687,173,13,514,3,74,Bed,Wood,Brown,Rural,Summer,Retail,6682,
591,363,14,228,2,29,Bed,Leather,Red,Rural,Fall,Online,3192,
708,251,14,457,1,73,Bed,Fabric,Black,Urban,Fall,Online,6398,
1183,420,14,763,3,34,Bed,Wood,Black,Rural,Summer,Online,10682,
836,367,15,469,2,81,Bed,Wood,White,Urban,Spring,Online,7035,
721,188,15,533,1,57,Bed,Wood,Brown,Urban,Fall,Online,7995,
447,275,16,172,3,64,Bed,Wood,White,Urban,Fall,Retail,2752,
1107,391,17,716,2,83,Bed,Wood,Black,Suburban,Summer,Retail,12172,
357,288,18,69,1,18,Bed,Fabric,Green,Suburban,Fall,Online,1242,
530,203,18,327,3,8,Bed,Wood,Black,Suburban,Winter,Online,5886,
979,175,18,804,2,11,Bed,Fabric,White,Rural,Summer,Online,14472,
569,294,18,275,1,80,Bed,Wood,Black,Urban,Spring,Retail,4950,
158,207,21,-49,2,45,Bed,Leather,Blue,Suburban,Summer,Retail,-1029,
601,270,21,331,3,59,Bed,Wood,Blue,Rural,Winter,Retail,6951,
694,207,21,487,2,55,Bed,Wood,Red,Rural,Summer,Retail,10227,
645,286,22,359,1,53,Bed,Wood,Red,Rural,Winter,Retail,7898,
1779,1157,23,622,3,14,Bed,Leather,White,Rural,Winter,Online,14306,
409,187,23,222,2,79,Bed,Leather,Red,Urban,Fall,Retail,5106,
888,370,24,518,1,52,Bed,Wood,Black,Rural,Fall,Retail,12432,
679,287,25,392,3,78,Bed,Wood,Brown,Urban,Summer,Online,9800,
267,218,25,49,2,50,Bed,Fabric,Red,Rural,Winter,Retail,1225,
798,336,25,462,1,36,Bed,Wood,Brown,Urban,Spring,Retail,11550,
851,496,27,355,3,63,Bed,Leather,White,Rural,Spring,Online,9585,
314,219,28,95,2,58,Bed,Wood,Red,Suburban,Winter,Online,2660,
857,154,28,703,1,38,Bed,Fabric,Black,Rural,Spring,Retail,19684,
502,196,30,306,3,46,Bed,Fabric,Green,Suburban,Fall,Online,9180,
2077,368,30,1709,2,77,Bed,Wood,Brown,Rural,Spring,Online,51270,
395,226,31,169,1,73,Bed,Leather,Black,Suburban,Summer,Online,5239,
938,383,31,555,3,31,Bed,Wood,Red,Urban,Summer,Online,17205,
339,255,32,84,2,57,Bed,Leather,White,Suburban,Winter,Online,2688,
379,248,33,131,1,54,Bed,Leather,Black,Rural,Fall,Online,4323,
571,187,33,384,3,44,Bed,Leather,Green,Urban,Winter,Retail,12672,
836,223,35,613,1,50,Bed,Wood,Black,Urban,Fall,Retail,21455,
693,151,38,542,2,36,Bed,Wood,Blue,Rural,Summer,Online,20596,
617,394,40,223,3,90,Bed,Leather,White,Suburban,Spring,Retail,8920,
1700,1232,0,468,1,26,Bed,Wood,Blue,Rural,Fall,Online,0,
781,484,0,297,2,77,Bed,Leather,Red,Rural,Summer,Retail,0,
921,378,0,543,3,27,Bed,Fabric,Green,Suburban,Summer,Retail,0,
452,441,1,11,1,52,Bed,Fabric,Black,Rural,Fall,Online,11,
393,294,1,99,3,80,Bed,Fabric,Red,Urban,Summer,Online,99,
269,237,2,32,2,33,Bed,Leather,Red,Rural,Fall,Online,64,
1914,1370,2,544,1,52,Bed,Leather,Black,Suburban,Spring,Retail,1088,
1199,388,2,811,3,88,Bed,Fabric,Brown,Suburban,Spring,Retail,1622,
724,195,3,529,2,59,Bed,Wood,Green,Suburban,Winter,Online,1587,
462,262,3,200,1,43,Bed,Fabric,Blue,Urban,Fall,Retail,600,
496,192,5,304,2,48,Bed,Wood,Black,Suburban,Spring,Online,1520,
710,319,5,391,3,74,Bed,Wood,Red,Rural,Fall,Online,1955,
798,153,5,645,1,43,Bed,Wood,Red,Urban,Spring,Retail,3225,
1017,388,6,629,2,77,Bed,Wood,White,Urban,Fall,Online,3774,
736,483,6,253,3,85,Bed,Fabric,Black,Urban,Fall,Retail,1518,
570,279,6,291,1,86,Bed,Wood,Green,Urban,Spring,Retail,1746,
333,293,7,40,2,38,Bed,Leather,Brown,Rural,Spring,Online,280,
2076,740,8,1336,3,68,Bed,Wood,Green,Urban,Fall,Online,10688,
1150,412,8,738,1,74,Bed,Wood,White,Urban,Winter,Retail,5904,
558,269,9,289,2,70,Bed,Wood,Blue,Rural,Winter,Retail,2601,
700,266,10,434,3,76,Bed,Wood,Green,Urban,Spring,Online,4340,
516,289,11,227,2,29,Bed,Fabric,White,Urban,Summer,Online,2497,
830,451,12,379,3,33,Bed,Wood,Black,Suburban,Fall,Online,4548,
1393,383,12,1010,2,37,Bed,Wood,Blue,Rural,Winter,Online,12120,
875,329,12,546,3,65,Bed,Wood,Brown,Suburban,Spring,Retail,6552,
566,441,14,125,2,24,Bed,Wood,Blue,Rural,Winter,Online,1750,
1184,1240,15,-56,3,39,Bed,Leather,Blue,Urban,Summer,Online,-840,
790,440,15,350,0,71,Bed,Wood,Green,Suburban,Spring,Online,5250,
1207,261,15,946,2,40,Bed,Wood,Blue,Rural,Spring,Online,14190,
775,346,15,429,1,31,Bed,Wood,Black,Urban,Winter,Retail,6435,
1041,209,15,832,0,50,Bed,Fabric,Blue,Urban,Fall,Retail,12480,
