price,cost,sales,profit,inventory,delivery_days,category,material,color,location,season,store_type,revenue
1635,941,9,694,6,29,Bed,Wood,Blue,Urban,Fall,Online,14715
1515,891,10,624,5,31,Bed,Wood,Black,Rural,Fall,Online,15150
1702,1037,4,665,2,26,Bed,Wood,Red,Rural,Spring,Retail,6808
1520,891,13,629,7,29,Bed,Wood,Green,Suburban,Summer,Retail,19760
1862,1050,8,812,5,39,Bed,Leather,Green,Suburban,Summer,Online,14896
1103,562,3,541,3,11,Bed,Fabric,Blue,Suburban,Winter,Online,3309
1799,975,5,824,2,25,Bed,Wood,Black,Urban,Spring,Online,8995
1788,1067,6,721,5,24,Bed,Wood,Red,Rural,Summer,Retail,10728
1117,550,5,567,4,22,Bed,Fabric,Blue,Urban,Winter,Retail,5585
1168,603,9,565,4,14,Bed,Fabric,Red,Rural,Fall,Online,10512
1608,953,10,655,10,25,Bed,Wood,Red,Urban,Summer,Retail,16080
1508,904,9,604,6,35,Bed,Wood,Blue,Rural,Fall,Online,13572
1861,1075,6,786,2,36,Bed,Wood,Red,Urban,Fall,Online,11166
1644,988,15,656,8,38,Bed,Leather,Black,Suburban,Fall,Retail,24660
1225,684,19,541,9,15,Bed,Fabric,Black,Urban,Summer,Retail,23275
1667,1040,9,627,5,38,Bed,Leather,Green,Suburban,Summer,Retail,15003
1590,911,10,679,3,27,Bed,Wood,White,Suburban,Summer,Retail,15900
1744,1064,6,680,4,31,Bed,Wood,White,Rural,Spring,Online,10464
1797,1082,1,715,1,35,Bed,Wood,Blue,Rural,Winter,Online,1797
1182,627,13,555,11,16,Bed,Fabric,White,Rural,Fall,Retail,15366
1922,1120,4,802,1,29,Bed,Wood,Brown,Suburban,Winter,Online,7688
1898,1140,9,758,1,34,Bed,Wood,Brown,Suburban,Spring,Online,17082
1798,1018,7,780,4,40,Bed,Wood,Black,Urban,Winter,Retail,12586
1635,964,5,671,2,32,Bed,Leather,Green,Urban,Winter,Online,8175
1718,943,8,775,2,35,Bed,Wood,Brown,Suburban,Spring,Online,13744
1722,1097,16,625,12,22,Bed,Wood,Black,Urban,Fall,Retail,27552
1638,963,12,675,3,36,Bed,Wood,Blue,Suburban,Summer,Online,19656
1890,1206,2,684,1,31,Bed,Leather,Red,Suburban,Winter,Online,3780
1549,906,11,643,10,26,Bed,Wood,Black,Rural,Fall,Online,17039
1165,537,3,628,2,23,Bed,Fabric,Red,Urban,Winter,Online,3495
1902,1101,7,801,5,33,Bed,Wood,Brown,Suburban,Spring,Retail,13314
1894,1103,13,791,7,38,Bed,Leather,White,Rural,Summer,Online,24622
1264,651,11,613,10,19,Bed,Fabric,White,Suburban,Spring,Online,13904
1631,951,13,680,7,33,Bed,Wood,Red,Urban,Summer,Online,21203
1812,1028,4,784,3,31,Bed,Wood,Green,Rural,Fall,Retail,7248
1589,956,4,633,1,33,Bed,Wood,Red,Urban,Winter,Retail,6356
1118,518,5,600,3,14,Bed,Fabric,Red,Suburban,Winter,Retail,5590
1219,624,15,595,9,24,Bed,Fabric,Black,Suburban,Fall,Retail,18285
1701,1037,7,664,8,23,Bed,Leather,Red,Rural,Summer,Online,11907
1924,1140,7,784,8,34,Bed,Leather,White,Rural,Spring,Retail,13468
2192,1291,16,901,8,30,Bed,Leather,Black,Suburban,Summer,Retail,35072
1662,952,5,710,1,42,Bed,Wood,Green,Urban,Spring,Online,8310
1698,1059,5,639,3,49,Bed,Wood,Black,Suburban,Winter,Retail,8490
1554,843,2,711,2,34,Bed,Wood,Red,Urban,Winter,Retail,3108
2011,1194,9,817,4,41,Bed,Leather,White,Rural,Summer,Retail,18099
1715,911,2,804,4,43,Bed,Wood,Blue,Urban,Winter,Online,3430
1175,597,4,578,1,18,Bed,Fabric,Blue,Suburban,Spring,Online,4700
1720,1023,3,697,1,25,Bed,Wood,Green,Suburban,Spring,Online,5160
1637,1009,1,628,1,37,Bed,Leather,Red,Rural,Fall,Online,1637
1874,1090,13,784,6,26,Bed,Wood,Red,Urban,Summer,Retail,24362
1612,997,14,615,9,50,Bed,Wood,Brown,Rural,Summer,Retail,22568
1800,1108,7,692,3,48,Bed,Leather,Red,Rural,Fall,Online,12600
1312,610,15,702,9,23,Bed,Fabric,Black,Urban,Fall,Online,19680
1536,804,8,732,4,29,Bed,Wood,Black,Rural,Summer,Online,12288
1734,972,7,762,1,32,Bed,Wood,White,Urban,Spring,Online,12138
1755,1061,15,694,8,38,Bed,Wood,Brown,Urban,Fall,Online,26325
1669,940,13,729,6,17,Bed,Wood,White,Urban,Fall,Retail,21697
1743,1022,14,721,6,32,Bed,Wood,Black,Suburban,Summer,Retail,24402
1279,641,9,638,4,18,Bed,Fabric,Green,Suburban,Fall,Online,11511
1547,892,6,655,7,36,Bed,Wood,Black,Suburban,Winter,Online,9282
1242,599,14,643,5,20,Bed,Fabric,White,Rural,Summer,Online,17388
1779,998,15,781,9,19,Bed,Wood,Black,Urban,Spring,Retail,26685
1865,1100,10,765,6,36,Bed,Leather,Blue,Suburban,Summer,Retail,18650
1384,763,2,621,4,41,Bed,Wood,Blue,Rural,Winter,Retail,2768
1912,1011,10,901,2,40,Bed,Wood,Red,Rural,Summer,Retail,19120
1704,940,4,764,3,19,Bed,Wood,Red,Rural,Winter,Retail,6816
1865,1085,3,780,1,42,Bed,Leather,White,Rural,Winter,Online,5595
1599,972,14,627,6,35,Bed,Leather,Red,Urban,Fall,Retail,22386
1749,984,13,765,7,24,Bed,Wood,Black,Rural,Fall,Retail,22737
1945,1167,14,778,6,25,Bed,Wood,Brown,Urban,Summer,Online,27230
1248,619,3,629,1,22,Bed,Fabric,Red,Rural,Winter,Retail,3744
1689,1012,10,677,7,34,Bed,Wood,Brown,Urban,Spring,Retail,16890
1805,1044,4,761,1,28,Bed,Leather,White,Rural,Spring,Online,7220
1786,1034,4,752,7,30,Bed,Wood,Red,Suburban,Winter,Online,7144
1025,503,10,522,3,16,Bed,Fabric,Black,Rural,Spring,Retail,10250
1150,562,8,588,3,29,Bed,Fabric,Green,Suburban,Fall,Online,9200
1683,941,5,742,5,26,Bed,Wood,Brown,Rural,Spring,Online,8415
1931,1194,15,737,11,31,Bed,Leather,Black,Suburban,Summer,Online,28965
1822,1021,9,801,7,35,Bed,Wood,Red,Urban,Summer,Online,16398
1823,1040,6,783,2,28,Bed,Leather,White,Suburban,Winter,Online,10938
1763,1069,7,694,5,35,Bed,Leather,Black,Rural,Fall,Online,12341
1703,1066,4,637,1,30,Bed,Leather,Green,Urban,Winter,Retail,6812
1817,985,14,832,6,30,Bed,Wood,Black,Urban,Fall,Retail,25438
1682,977,9,705,5,28,Bed,Wood,Blue,Rural,Summer,Online,15138
1646,1017,10,629,8,30,Bed,Leather,White,Suburban,Spring,Retail,16460
1657,959,6,698,3,20,Bed,Wood,Blue,Rural,Fall,Online,9942
1923,1185,10,738,10,32,Bed,Leather,Red,Rural,Summer,Retail,19230
1121,561,16,560,5,21,Bed,Fabric,Green,Suburban,Summer,Retail,17936
1033,450,9,583,2,24,Bed,Fabric,Black,Rural,Fall,Online,9297
1057,522,10,535,7,11,Bed,Fabric,Red,Urban,Summer,Online,10570
1994,1147,4,847,2,34,Bed,Leather,Red,Rural,Fall,Online,7976
2071,1249,8,822,3,31,Bed,Leather,Black,Suburban,Spring,Retail,16568
1226,625,11,601,8,15,Bed,Fabric,Brown,Suburban,Spring,Retail,13486
1636,956,4,680,2,28,Bed,Wood,Green,Suburban,Winter,Online,6544
1030,533,11,497,7,7,Bed,Fabric,Blue,Urban,Fall,Retail,11330
1865,1020,7,845,6,22,Bed,Wood,Black,Suburban,Spring,Online,13055
1660,966,4,694,5,39,Bed,Wood,Red,Rural,Fall,Online,6640
1407,765,8,642,2,28,Bed,Wood,Red,Urban,Spring,Retail,11256
1705,1018,13,687,7,25,Bed,Wood,White,Urban,Fall,Online,22165
1291,630,18,661,9,19,Bed,Fabric,Black,Urban,Fall,Retail,23238
1632,940,4,692,4,38,Bed,Wood,Green,Urban,Spring,Retail,6528
1877,1161,8,716,6,36,Bed,Leather,Brown,Rural,Spring,Online,15016
